game_id,team_id,HoA,result,settled_in,head_coach,goals,shots,tackles,pim,powerPlayOpportunities,powerPlayGoals,faceOffWinPercentage,giveaways,takeaways
2014020576,12,home,TIE,SO,Bill Peters,1,9,31,9,2,0,47.2,3,10
2014020242,29,away,LOSS,REG,Todd Richards,2,9,26,6,4,3,44.3,6,4
2014020242,4,home,WIN,REG,Craig Berube,3,6,36,8,3,2,55.7,13,3
2014020243,1,away,WIN,REG,Peter DeBoer,1,7,13,10,3,0,49.2,12,6
2014020243,15,home,LOSS,REG,Barry Trotz,0,7,16,8,4,0,50.8,10,7
2014021189,25,away,WIN,REG,Lindy Ruff,3,6,16,15,6,2,41.4,11,6
2014021189,28,home,LOSS,REG,Todd McLellan,1,6,19,17,5,1,58.6,19,8
2014020528,23,away,LOSS,OT,Willie Desjardins,1,3,14,13,1,0,42.6,13,6
2014020528,24,home,WIN,OT,Bruce Boudreau,2,7,24,7,4,0,57.4,9,8
2014020212,2,away,WIN,REG,Jack Capuano,1,8,41,10,3,0,50,2,2
2014020212,53,home,LOSS,REG,Dave Tippett,0,4,20,6,5,0,50,4,8
2014020261,52,away,WIN,OT,Paul Maurice,3,6,30,21,8,0,45.2,7,2
2014020261,30,home,LOSS,OT,Mike Yeo,2,6,21,27,5,1,54.8,6,3
2014020716,17,away,LOSS,REG,Mike Babcock,1,7,17,11,2,0,45.8,7,3
2014020716,14,home,WIN,REG,Jon Cooper,3,8,13,11,2,1,54.2,8,11
2014021154,15,away,TIE,SO,Barry Trotz,2,4,33,8,4,3,54.7,16,3
2014021154,8,home,TIE,SO,Michel Therrien,2,6,26,8,4,1,45.3,10,8
2014020605,52,away,LOSS,REG,Paul Maurice,1,8,49,10,7,0,49.3,8,1
2014020605,53,home,WIN,REG,Dave Tippett,2,7,41,14,5,3,50.7,1,5
2014020350,29,away,LOSS,REG,Todd Richards,1,5,25,8,4,1,53,9,4
2014020350,18,home,WIN,REG,Peter Laviolette,2,10,14,8,4,0,47,5,4
2014020194,10,away,TIE,SO,Randy Carlyle,3,9,33,8,2,1,46.4,3,22
2014020194,21,home,TIE,SO,Patrick Roy,3,8,40,6,3,0,53.6,4,13
2014020537,18,away,TIE,SO,Peter Laviolette,2,10,15,12,5,1,53.2,4,8
2014020537,16,home,TIE,SO,Joel Quenneville,2,10,14,12,5,1,46.8,12,11
2014021059,5,away,LOSS,REG,Mike Johnston,1,8,26,14,4,1,36.9,4,8
2014021059,25,home,WIN,REG,Lindy Ruff,2,6,21,14,4,0,63.1,11,12
2014021044,8,away,WIN,REG,Michel Therrien,3,6,22,10,3,0,42.9,3,3
2014021044,13,home,LOSS,REG,Gerard Gallant,2,10,35,10,4,0,57.1,1,7
2014020253,2,away,LOSS,REG,Jack Capuano,2,6,30,8,4,0,42.1,5,7
2014020253,14,home,WIN,REG,Jon Cooper,3,7,21,10,3,1,57.9,8,6
2014020353,20,away,WIN,REG,Bob Hartley,3,7,39,2,3,1,36,4,3
2014020353,53,home,LOSS,REG,Dave Tippett,0,6,34,6,1,0,64,5,2
2014020486,3,away,TIE,SO,Alain Vigneault,2,8,41,8,2,1,43.5,13,18
2014020486,12,home,TIE,SO,Bill Peters,2,5,33,4,4,0,56.5,14,11
2014021060,4,away,LOSS,REG,Craig Berube,1,6,23,10,2,0,50.8,7,10
2014021060,20,home,WIN,REG,Bob Hartley,2,6,20,6,4,2,49.2,11,18
